"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296100045","06:18:00","06:18:00","144","1","L.A. Union Station","0","06:18:00","1"
"296100045","06:44:00","06:44:00","152","2","L.A. Union Station","0","06:44:00","1"
"296100045","06:56:00","06:56:00","153","3","L.A. Union Station","0","06:56:00","1"
"296100045","07:02:00","07:02:00","141","4","L.A. Union Station","0","07:02:00","1"
"296100045","07:12:00","07:12:00","140","5","L.A. Union Station","0","07:12:00","1"
"296100045","07:20:00","07:20:00","156","6","L.A. Union Station","0","07:20:00","1"
"296100045","07:26:00","07:26:00","154","7","L.A. Union Station","0","07:26:00","1"
"296100045","07:31:00","07:31:00","145","8","L.A. Union Station","0","07:31:00","1"
"296100045","07:36:00","07:36:00","128","9","L.A. Union Station","0","07:36:00","1"
"296100045","07:43:00","07:43:00","174","10","L.A. Union Station","0","07:43:00","1"
"296100045","07:49:00","07:49:00","130","11","L.A. Union Station","0","07:49:00","1"
"296100045","07:57:00","07:57:00","143","12","L.A. Union Station","0","07:57:00","1"
"296100045","08:07:00","08:07:00","135","13","L.A. Union Station","0","08:07:00","1"
"296100045","08:20:00","08:20:00","107","14","L.A. Union Station","0","08:20:00","1"
"296100047","13:02:00","13:02:00","141","1","L.A. Union Station","0","13:02:00","1"
"296100047","13:12:00","13:12:00","140","2","L.A. Union Station","0","13:12:00","1"
"296100047","13:20:00","13:20:00","156","3","L.A. Union Station","0","13:20:00","1"
"296100047","13:26:00","13:26:00","154","4","L.A. Union Station","0","13:26:00","1"
"296100047","13:31:00","13:31:00","145","5","L.A. Union Station","0","13:31:00","1"
"296100047","13:36:00","13:36:00","128","6","L.A. Union Station","0","13:36:00","1"
"296100047","13:43:00","13:43:00","174","7","L.A. Union Station","0","13:43:00","1"
"296100047","13:49:00","13:49:00","130","8","L.A. Union Station","0","13:49:00","1"
"296100047","13:57:00","13:57:00","143","9","L.A. Union Station","0","13:57:00","1"
"296100047","14:20:00","14:20:00","107","10","L.A. Union Station","0","14:20:00","1"
"296100048","08:02:00","08:02:00","141","1","L.A. Union Station","0","08:02:00","1"
"296100048","08:12:00","08:12:00","140","2","L.A. Union Station","0","08:12:00","1"
"296100048","08:20:00","08:20:00","156","3","L.A. Union Station","0","08:20:00","1"
"296100048","08:26:00","08:26:00","154","4","L.A. Union Station","0","08:26:00","1"
"296100048","08:31:00","08:31:00","145","5","L.A. Union Station","0","08:31:00","1"
"296100048","08:36:00","08:36:00","128","6","L.A. Union Station","0","08:36:00","1"
"296100048","08:43:00","08:43:00","174","7","L.A. Union Station","0","08:43:00","1"
"296100048","08:49:00","08:49:00","130","8","L.A. Union Station","0","08:49:00","1"
"296100048","08:57:00","08:57:00","143","9","L.A. Union Station","0","08:57:00","1"
"296100048","09:07:00","09:07:00","135","10","L.A. Union Station","0","09:07:00","1"
"296100048","09:20:00","09:20:00","107","11","L.A. Union Station","0","09:20:00","1"
"296100049","14:18:00","14:18:00","144","1","L.A. Union Station","0","14:18:00","1"
"296100049","14:44:00","14:44:00","152","2","L.A. Union Station","0","14:44:00","1"
"296100049","14:56:00","14:56:00","153","3","L.A. Union Station","0","14:56:00","1"
"296100049","15:02:00","15:02:00","141","4","L.A. Union Station","0","15:02:00","1"
"296100049","15:12:00","15:12:00","140","5","L.A. Union Station","0","15:12:00","1"
"296100049","15:20:00","15:20:00","156","6","L.A. Union Station","0","15:20:00","1"
"296100049","15:26:00","15:26:00","154","7","L.A. Union Station","0","15:26:00","1"
"296100049","15:31:00","15:31:00","145","8","L.A. Union Station","0","15:31:00","1"
"296100049","15:36:00","15:36:00","128","9","L.A. Union Station","0","15:36:00","1"
"296100049","15:43:00","15:43:00","174","10","L.A. Union Station","0","15:43:00","1"
