route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RJUN25-801-1_Weekday-08,62480872,,1,103,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480873,,1,154,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480874,,1,107,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480875,,1,112,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480876,,1,111,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480877,,1,157,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480878,,1,158,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480879,,1,155,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480880,,1,156,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480881,,1,153,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480882,,1,103,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480883,,1,108,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480884,,1,102,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480885,,1,109,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480886,,1,104,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480887,,1,165,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480888,,1,161,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480889,,1,151,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480890,,1,162,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480891,,1,171,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480892,,1,101,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480893,,1,105,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480894,,1,157,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480895,,1,108,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480896,,1,164,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480897,,1,155,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480898,,1,111,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480899,,1,103,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480900,,0,108,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480901,,0,107,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480902,,1,157,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480903,,1,158,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480904,,0,110,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480905,,1,151,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480906,,0,111,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480907,,1,106,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480908,,0,163,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480909,,1,154,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480910,,0,103,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480911,,1,109,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480912,,1,155,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480913,,0,114,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480914,,0,157,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480915,,1,158,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480916,,1,154,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480917,,0,154,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480918,,0,160,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480919,,1,156,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480920,,0,106,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480921,,0,164,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480922,,0,158,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480923,,0,166,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480924,,1,127,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480925,,0,107,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480926,,0,155,801NB_RC_221121
801,RJUN25-801-1_Weekday-08,62480927,,1,157,801SB_RC_221121
801,RJUN25-801-1_Weekday-08,62480928,,1,114,801SB_RC_221121
